ANO,ENTIDAD,CLAVE MARCO GEOESTADISTICO NAL,MODALIDAD,TIPO,SUBTIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
1997,AGUASCALIENTES,1,DELITOS PATRIMONIALES,ABUSO DE CONFIANZA,ABUSO DE CONFIANZA,17,17,17,17,17,17,32,0,38,28,22,31
1997,AGUASCALIENTES,1,DELITOS PATRIMONIALES,DAÑO EN PROPIEDAD AJENA,DAÑO EN PROPIEDAD AJENA,45,45,45,45,45,45,108,40,117,38,73,133
1997,AGUASCALIENTES,1,DELITOS PATRIMONIALES,EXTORSION,EXTORSION,0,0,0,0,0,0,0,0,0,0,0,0
1997,AGUASCALIENTES,1,DELITOS PATRIMONIALES,FRAUDE,FRAUDE,9,9,9,9,9,9,52,0,55,51,42,44
1997,AGUASCALIENTES,1,DELITOS PATRIMONIALES,DESPOJO,CON VIOLENCIA,0,0,0,0,0,0,0,0,0,0,0,0
1997,BAJA CALIFORNIA SUR,3,PRIV. DE LA LIBERTAD (SECUESTRO),SECUESTRO,SECUESTRO,0,1,0,0,0,0,0,0,0,0,0,0
1997,BAJA CALIFORNIA SUR,3,ROBO COMUN,CON VIOLENCIA,A CASA HABITACION,0,0,0,0,0,0,0,0,0,0,0,0
1997,BAJA CALIFORNIA SUR,3,ROBO COMUN,CON VIOLENCIA,A NEGOCIO,0,0,0,0,0,0,0,0,0,0,0,0
1997,BAJA CALIFORNIA SUR,3,ROBO COMUN,CON VIOLENCIA,DE VEHICULOS,0,0,0,0,0,0,0,0,0,0,0,0
1997,BAJA CALIFORNIA SUR,3,ROBO COMUN,CON VIOLENCIA,A TRANSPORTISTAS,0,0,0,0,0,0,0,0,0,0,0,0
1997,COAHUILA,5,DELITOS PATRIMONIALES,ABUSO DE CONFIANZA,ABUSO DE CONFIANZA,0,0,0,0,0,0,0,0,0,0,0,0
1997,COAHUILA,5,DELITOS PATRIMONIALES,DAÑO EN PROPIEDAD AJENA,DAÑO EN PROPIEDAD AJENA,274,186,192,237,204,190,241,206,194,223,163,153
1997,COAHUILA,5,DELITOS PATRIMONIALES,EXTORSION,EXTORSION,0,0,0,0,0,0,0,0,0,0,0,0
1997,COAHUILA,5,DELITOS PATRIMONIALES,FRAUDE,FRAUDE,55,48,72,84,64,60,95,92,99,85,89,51
1997,COAHUILA,5,DELITOS PATRIMONIALES,DESPOJO,CON VIOLENCIA,0,0,0,0,0,0,0,0,0,0,0,0
1997,CIUDAD DE MEXICO,9,OTROS DELITOS,RESTO DE LOS DELITOS (OTROS),RESTO DE LOS DELITOS (OTROS),6133,6267,6632,7415,7495,7719,4032,4032,4032,4032,4032,4032
1997,CIUDAD DE MEXICO,9,PRIV. DE LA LIBERTAD (SECUESTRO),SECUESTRO,SECUESTRO,2,2,1,3,6,8,0,0,0,0,0,0
1997,CIUDAD DE MEXICO,9,ROBO COMUN,CON VIOLENCIA,A CASA HABITACION,54,58,56,58,58,63,66,76,64,62,81,67
1997,CIUDAD DE MEXICO,9,ROBO COMUN,CON VIOLENCIA,A NEGOCIO,532,461,465,453,454,488,564,568,550,632,530,514
1997,CIUDAD DE MEXICO,9,ROBO COMUN,CON VIOLENCIA,DE VEHICULOS,1643,1577,1639,1609,1729,1695,1863,1616,1703,1978,2140,2049
